csv_file_name,peak_area,RT1_center,RT2_center,RT1_start,RT2_start,RT1_end,RT2_end,sample_name,label
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,163208.52000000002,9018.784,1.816,9018.784,1.88,9022.288,1.752,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1558815.3000000005,8247.904,2.432,8240.896,2.6,8254.912,2.264,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,133227.72,7806.4,1.384,7806.4,1.432,7806.4,1.328,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,43563.0,7806.4,1.384,7806.4,1.44,7809.904,1.328,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,110400.75,9204.496,2.448,9204.496,2.568,9208.0,2.32,Lignite,1
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,126157.33000000005,8819.056,2.704,8815.552,2.816,8822.56,2.592,Atacama Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,123060.0,8615.824,1.28,8615.824,1.32,8619.328,1.232,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,521941.84,8146.288,1.392,8146.288,1.432,8149.792,1.344,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,85881.75,8535.232,1.544,8535.232,1.592,8538.736,1.488,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,117545.5,8146.288,1.392,8146.288,1.432,8149.792,1.344,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,88474.26,9130.912,1.968,9130.912,2.056,9134.416,1.872,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,46504.0,8486.176,1.304,8486.176,1.344,8489.68,1.256,Lignite,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,57553.99999999999,8696.416,1.12,8696.416,1.168,8699.92,1.072,Orgueil,0
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,138129.66000000006,8780.512,2.648,8766.496,2.736,8798.032,2.552,Atacama Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,44240.0,8198.848,1.304,8198.848,1.352,8198.848,1.256,Green River Shale Soil,1
231003_03_Utha_Soil_300uLDCM_100oC24h.csv,44313.43000000001,10998.544,3.336,10991.536,3.368,11005.552,3.304,Utah Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,375880.86000000016,8808.544,2.52,8791.024,2.576,8829.568,2.464,Jbilet Winselwan,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,118751.51,8293.456,1.104,8293.456,1.144,8296.96,1.064,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,36432.0,8367.04,1.104,8367.04,1.128,8367.04,1.072,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,173945.45,8030.656,1.432,8030.656,1.48,8030.656,1.384,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,85714.12,8244.4,2.184,8240.896,2.296,8247.904,2.064,Lignite,1
