csv_file_name,peak_area,RT1_center,RT2_center,RT1_start,RT2_start,RT1_end,RT2_end,sample_name,label
230901_08_LEW85311_300uLDCM_100oC24h.csv,2585272.070000001,7540.096,2.288,7536.592,2.456,7543.6,2.112,LEW 85311,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,899604.4099999997,6692.128,2.056,6692.128,2.168,6695.632,1.944,LEW 85311,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,705635.9900000001,4071.136,1.888,4071.136,1.968,4074.64,1.8,LEW 85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,73782.56,6443.344,1.224,6443.344,1.248,6446.848,1.2,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,64862.58,6558.976,1.176,6558.976,1.192,6562.48,1.152,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,78199.38,8037.664,2.344,8037.664,2.376,8037.664,2.304,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,531615.88,7957.072,1.92,7953.568,2.008,7960.576,1.824,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,84795.19,8212.864,1.824,8212.864,1.864,8212.864,1.784,Lignite,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,4091473.749999999,7687.264,2.336,7683.76,2.472,7690.768,2.2,LEW 85311,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,6054471.59,7540.096,2.28,7536.592,2.432,7543.6,2.128,LEW 85311,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,3917120.66,6692.128,2.056,6692.128,2.184,6695.632,1.928,LEW 85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,469673.6499999999,9709.072,1.944,9705.568,2.0,9712.576,1.888,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,604876.9400000003,5987.824,1.728,5984.32,1.792,5991.328,1.656,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,137779.5,7767.856,1.584,7767.856,1.608,7771.36,1.56,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,176288.57,6611.536,1.56,6611.536,1.6,6611.536,1.52,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,89171.5,7203.712,1.496,7203.712,1.52,7203.712,1.464,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,74813.77,8149.792,1.384,8149.792,1.408,8149.792,1.36,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,245038.64,6443.344,1.232,6443.344,1.264,6446.848,1.192,Green River Shale Soil,1
