Chemical Name,Biotic Score,Abiotic Score,Combined Score,Rings
Napthalene,-91.86928504247710,-8.685040037269260,-83.18424500520790,2
Biphenyl,-18.037032635914700,-12.223008208963700,-5.8140244269509400,2
Phenanthrene,-12.922244958140400,-9.593561954701970,-3.32868300343846,3
Anthracene,-12.431470740000100,-10.165216027720300,-2.2662547122798300,3
Acenaphthenes,-15.93640025898050,-10.757709323959900,-5.178690935020560,3
Napthalene 1-phenyl-,-12.510295984026600,-12.22209811181840,-0.28819787220824500,3
Pyrene,-12.34914406030680,-9.361462768458900,-2.987681291847890,4
Fluoranthene,-11.659604319611400,-10.245689999129700,-1.413914320481730,4
