,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
6,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.9377674,6.070416284882322,0.1544815614658693
10,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.9394436,6.177438493959139,0.15207655878330628
7,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.91753125,6.071925986126747,0.1511104143897244
8,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.91551596,6.071925986126747,0.15077851102840126
11,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.9293785,6.177438493959139,0.1504472299368606
9,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.92707103,6.177438493959139,0.15007369734476014
2,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.76931643,5.6570545904268315,0.13599240073838206
3,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.7657597,5.872241593778608,0.1304033041332091
4,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.75486135,5.872241593778608,0.12854739417186523
5,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.5984205,5.6570545904268315,0.10578305215013994
1,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.5235261,5.438898209455305,0.09625590557881876
0,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.4008996,5.366299412146114,0.07470689916301325
