,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,C=C=CCC#CC,C,16.031300127999998,0.0776744,-8.968324459455982,-9.623388446234241
1,C=C=CCC#CC,CCC,44.062600255999996,0.12607214,-6.052532396820245,-6.684628925827203
2,C=C=CCC#CC,C1CC1,42.046950192,0.4108444,-6.103642028842362,-6.612319392238053
3,C=C=CCC#CC,C#CC,40.031300128,0.66335297,-6.164735805361048,-6.580231230823771
4,C=C=CCC#CC,C1=CC1,40.031300128,0.6748998,-6.164735805361048,-6.576320421068446
5,C=C=CCC#CC,C=CC,42.046950192,0.77042055,-6.103642028842362,-6.484007013116273
6,C=C=CCC#CC,CC1CC1,56.062600255999996,0.03916947,-5.773027807524754,-6.446781963160587
7,C=C=CCC#CC,C1=CCC=1,52.031300128,0.58773446,-5.8691925279295845,-6.3110439352190895
8,C=C=CCC#CC,C1=CCC1,54.046950192,0.5599402,-5.820273434657672,-6.272140657443622
9,C=C=CCC#CC,CC#CC,54.046950192,0.63565123,-5.820273434657672,-6.245273506183246
10,C=C=CCC#CC,CC1=CC1,54.046950192,0.6885646,-5.820273434657672,-6.227268462915042
11,C=C=CCC#CC,C=C=CC,54.046950192,0.80089307,-5.820273434657672,-6.191097354430774
12,C=C=CCC#CC,CC=CC,56.062600255999996,0.73072267,-5.773027807524754,-6.166123986294819
13,C=C=CCC#CC,C=CCC,56.062600255999996,0.7463874,-5.773027807524754,-6.161059230616642
14,C=C=CCC#CC,CCCC,58.078250319999995,0.6223734,-5.730360881882566,-6.159978108006376
15,C=C=CCC#CC,CCCCC,72.093900384,0.5843432,-5.66823822017118,-6.111302105144706
16,C=C=CCC#CC,C1=CC#CCC=1,76.031300128,0.6878529,-5.684588913556727,-6.09182188355604
17,C=C=CCC#CC,CC1=C=CC1,66.046950192,0.5923706,-5.646510371599426,-6.086708465252151
18,C=C=CCC#CC,CC=C=C1CC1,80.062600256,0.6726998,-5.667443111716297,-6.07977058011153
19,C=C=CCC#CC,C=C=C=C=CC,78.046950192,0.72033674,-5.68196691283649,-6.078450751394687
20,C=C=CCC#CC,CC#CCC,68.062600256,0.626505,-5.648499796543922,-6.076675990973319
21,C=C=CCC#CC,CC1C=CC1,68.062600256,0.6371121,-5.648499796543922,-6.0729943014725105
22,C=C=CCC#CC,CC#CCCC,82.07825032,0.6123129,-5.639278613857593,-6.072420948080387
23,C=C=CCC#CC,C#CCC=C=C,78.046950192,0.74744105,-5.68196691283649,-6.069659692139087
24,C=C=CCC#CC,CC=C=C=CC,80.062600256,0.7033944,-5.667443111716297,-6.069504216490772
25,C=C=CCC#CC,C=CC=C=CC,80.062600256,0.7574867,-5.667443111716297,-6.051918313084629
26,C=C=CCC#CC,CC=CCC,70.07825032,0.76233774,-5.656810825332318,-6.039740239843045
27,C=C=CCC#CC,C=C=C=CCC,80.062600256,0.8110506,-5.667443111716297,-6.035130962906864
28,C=C=CCC#CC,CC=C=CC,68.062600256,0.7520319,-5.648499796543922,-6.034719298039283
29,C=C=CCC#CC,C=C=C=CC,66.046950192,0.7556072,-5.646510371599426,-6.031585881147613
30,C=C=CCC#CC,C=C=CC#CC,78.046950192,0.88776034,-5.68196691283649,-6.026674074024616
31,C=C=CCC#CC,CC=C=C(C)C,82.07825032,0.7616677,-5.639278613857593,-6.0224211447757146
32,C=C=CCC#CC,C=C=CCC,68.062600256,0.79544944,-5.648499796543922,-6.021013478194083
33,C=C=CCC#CC,C=CCC#CC,80.062600256,0.862091,-5.667443111716297,-6.019703015862492
34,C=C=CCC#CC,CC=C=CCC,82.07825032,0.7705722,-5.639278613857593,-6.019595735601749
35,C=C=CCC#CC,C=C=CCCC,82.07825032,0.8329382,-5.639278613857593,-6.000283115438785
36,C=C=CCC#CC,C=CC#CC,66.046950192,0.8704494,-5.646510371599426,-5.996295937929382
37,C=C=CCC#CC,CCC=CCC,84.093900384,0.7364905,-5.597643165968446,-5.988868176125077
38,C=C=CCC#CC,C=C=C=CC#CC,90.046950192,0.85549736,-5.423526462351926,-5.777748640811094
39,C=C=CCC#CC,CC#CCC=CC,94.07825032,0.67266035,-5.305336075027771,-5.717676894863434
40,C=C=CCC#CC,C=C=CCC#CC,92.062600256,0.89316314,-5.361543667295136,-5.704678517558731
41,C=C=CCC#CC,CC=C=C=CCC,94.07825032,0.7518542,-5.305336075027771,-5.691612677772827
42,C=C=CCC#CC,CC=C=C=C(C)C,94.07825032,0.7544036,-5.305336075027771,-5.690796421964951
43,C=C=CCC#CC,C=C(C)C=C=CC,94.07825032,0.78455865,-5.305336075027771,-5.681249486406632
44,C=C=CCC#CC,C=CCC=C=CC,94.07825032,0.8208604,-5.305336075027771,-5.670015888412781
45,C=C=CCC#CC,C=C=C=CCCC,94.07825032,0.8299576,-5.305336075027771,-5.667244808872528
46,C=C=CCC#CC,C=CCCC#CC,94.07825032,0.84407413,-5.305336075027771,-5.6629792322715
47,C=C=CCC#CC,C=C=CCC=CC,94.07825032,0.8457071,-5.305336075027771,-5.662488507231064
