,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,C#CC=CC,C,16.031300127999998,0.5023545,-8.968324459455982,-9.441513187550083
1,C#CC=CC,C#C,26.015650064,0.7611278,-7.226864575468232,-7.610179006181886
2,C#CC=CC,CC,30.046950192,0.6103406,-6.7744679666636305,-7.208304039346965
3,C#CC=CC,C1#CC1,38.015650064,0.67457575,-6.240950008377659,-6.652644058212864
4,C#CC=CC,C#CC,40.031300128,0.77656245,-6.164735805361048,-6.543161641924159
5,C#CC=CC,C=CC,42.046950192,0.8337413,-6.103642028842362,-6.464403283868226
6,C#CC=CC,CCC,44.062600255999996,0.68139446,-6.052532396820245,-6.461930505541025
7,C#CC=CC,C#CC#C,50.015650064,0.7610206,-5.917367532444946,-6.300716086817734
8,C#CC=CC,C#CC=C,52.031300128,0.80591655,-5.8691925279295845,-6.238462673822681
9,C#CC=CC,C#CCC,54.046950192,0.7380381,-5.820273434657672,-6.210997735995868
10,C#CC=CC,CCCC,58.078250319999995,0.6833427,-5.730360881882566,-6.139104770022291
11,C#CC=CC,CC=CC,56.062600255999996,0.8467882,-5.773027807524754,-6.1298556328326
12,C#CC=CC,C#CC=CC=C,78.046950192,0.8215354,-5.68196691283649,-6.046440494150577
13,C#CC=CC,C=CC#CCC,80.062600256,0.79323286,-5.667443111716297,-6.040646657525089
14,C#CC=CC,C#CCCC,68.062600256,0.7359341,-5.648499796543922,-6.039905080948676
15,C#CC=CC,C=C(C)C=CC,82.07825032,0.7299273,-5.639278613857593,-6.0326333873790166
16,C#CC=CC,CC#CCC,68.062600256,0.77291703,-5.648499796543922,-6.028075645123328
17,C#CC=CC,C#CC=C=CC,78.046950192,0.90938044,-5.68196691283649,-6.020418357939182
18,C#CC=CC,CC=CCC,70.07825032,0.84068894,-5.656810825332318,-6.015472983583127
19,C#CC=CC,C#CCC=CC,80.062600256,0.87852955,-5.667443111716297,-6.014850571929005
20,C#CC=CC,CC#CCCC,82.07825032,0.7866928,-5.639278613857593,-6.014523886970844
21,C#CC=CC,C=CC#CC,66.046950192,0.81799394,-5.646510371599426,-6.012066999111404
22,C#CC=CC,CC#CC=CC,80.062600256,0.889084,-5.667443111716297,-6.011764481841114
23,C#CC=CC,C#CC=CCC,80.062600256,0.90899795,-5.667443111716297,-6.00600440817931
24,C#CC=CC,C#CC=C=C,64.031300128,0.8700661,-5.653161866822561,-6.003060562768301
25,C#CC=CC,C=CCC=CC,82.07825032,0.8365175,-5.639278613857593,-5.99919989042696
26,C#CC=CC,C=CC=CC,68.062600256,0.8681723,-5.648499796543922,-5.9989581204994575
27,C#CC=CC,C#CC=CC,66.046950192,0.8755653,-5.646510371599426,-5.994788685474624
28,C#CC=CC,CC=CCCC,84.093900384,0.8490505,-5.597643165968446,-5.953792630814103
29,C#CC=CC,C=CC#CC=CC,92.062600256,0.796448,-5.361543667295136,-5.7337468683506625
30,C#CC=CC,CC=CC#CCC,94.07825032,0.77349544,-5.305336075027771,-5.6847291757662965
