,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,CC=CC#CCC,C,16.031300127999998,0.3468463,-8.968324459455982,-9.50301150169231
1,CC=CC#CCC,CC,30.046950192,0.6560552,-6.7744679666636305,-7.192450515138896
2,CC=CC#CCC,C1CC1,42.046950192,0.4435591,-6.103642028842362,-6.599403721366318
3,CC=CC#CCC,C1=CC1,40.031300128,0.63794494,-6.164735805361048,-6.588942330448405
4,CC=CC#CCC,C#CC,40.031300128,0.78424716,-6.164735805361048,-6.540746878950373
5,CC=CC#CCC,C=CC,42.046950192,0.8052627,-6.103642028842362,-6.473114055667313
6,CC=CC#CCC,CCC,44.062600255999996,0.7983526,-6.052532396820245,-6.424144051578699
7,CC=CC#CCC,C1#CCC1,52.031300128,0.55242366,-5.8691925279295845,-6.323798941770832
8,CC=CC#CCC,CC1CC1,56.062600255999996,0.4572845,-5.773027807524754,-6.263446688702656
9,CC=CC#CCC,CC1=CC1,54.046950192,0.6809044,-5.820273434657672,-6.229836201209643
10,CC=CC#CCC,C#CCC,54.046950192,0.76127833,-5.820273434657672,-6.203539883632281
11,CC=CC#CCC,C=C=CC,54.046950192,0.79490787,-5.820273434657672,-6.192955499429324
12,CC=CC#CCC,C#CC#CCC,78.046950192,0.54714656,-5.68196691283649,-6.138504397959171
13,CC=CC#CCC,CC=CC,56.062600255999996,0.8745946,-5.773027807524754,-6.121591717055393
14,CC=CC#CCC,CC1C#CCC1,80.062600256,0.56773245,-5.667443111716297,-6.116484329281834
15,CC=CC#CCC,CCCC,58.078250319999995,0.7685758,-5.730360881882566,-6.111309902268308
16,CC=CC#CCC,C1#CCC=C1,64.031300128,0.564478,-5.653161866822561,-6.103381706633886
17,CC=CC#CCC,C1#CCCC1,66.046950192,0.55707985,-5.646510371599426,-6.099418470297088
18,CC=CC#CCC,CCC(C)C,72.093900384,0.63376904,-5.66823822017118,-6.093890306905951
19,CC=CC#CCC,CC1=CCC#C1,78.046950192,0.71296513,-5.68196691283649,-6.080869656891284
20,CC=CC#CCC,C=C(C)CC,70.07825032,0.66327584,-5.656810825332318,-6.072332566245709
21,CC=CC#CCC,CC=C1CC1,68.062600256,0.64499974,-5.648499796543922,-6.070272991810645
22,CC=CC#CCC,C#CCC=CC,80.062600256,0.74715734,-5.667443111716297,-6.055226966916111
23,CC=CC#CCC,CC=CC1=CC1,80.062600256,0.76040167,-5.667443111716297,-6.050988778649357
24,CC=CC#CCC,CCCCC,72.093900384,0.78180224,-5.66823822017118,-6.045016137317862
25,CC=CC#CCC,CCC1=CC1,68.062600256,0.7209178,-5.648499796543922,-6.044793496285285
26,CC=CC#CCC,C=C(C)C=CC,82.07825032,0.69495714,-5.639278613857593,-6.044140719703998
27,CC=CC#CCC,C=CC#CCC,80.062600256,0.80528593,-5.667443111716297,-6.036907985983875
28,CC=CC#CCC,CC#CCC,68.062600256,0.75064063,-5.648499796543922,-6.0351652599914924
29,CC=CC#CCC,CC=CC1CC1,82.07825032,0.72338825,-5.639278613857593,-6.034764611057605
